epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
65,0.10567743,0.11560801,0.08407025,0.08214383,0.11226576,0.08369221,1.30855260e-01,7.77481254e-01,3.80171745e-01,1.00851710e-01
66,0.10523995,0.11574615,0.08386889,0.08204013,0.11182795,0.08351377,1.31132291e-01,7.75214900e-01,3.80347933e-01,1.00525183e-01
67,0.10479625,0.11554184,0.08376577,0.08192530,0.11136739,0.08333691,1.30915761e-01,7.75071389e-01,3.79880034e-01,1.00425530e-01
68,0.10424047,0.11564409,0.08352828,0.08183114,0.11078763,0.08316600,1.31502168e-01,7.76682012e-01,3.79567497e-01,1.00353388e-01
69,0.10365138,0.11524218,0.08335627,0.08159462,0.11013677,0.08298470,1.31743888e-01,7.73330456e-01,3.77352942e-01,1.00055642e-01
70,0.10335430,0.11521342,0.08320389,0.08154984,0.10982866,0.08282219,1.31957560e-01,7.70584432e-01,3.77272514e-01,9.95413323e-02
71,0.10268365,0.11479312,0.08295491,0.08131218,0.10906520,0.08265336,1.32733085e-01,7.63464148e-01,3.74999927e-01,9.96356038e-02
72,0.10235113,0.11479829,0.08281542,0.08139480,0.10869618,0.08250148,1.32510388e-01,7.63509367e-01,3.73416170e-01,9.96900896e-02
73,0.10189868,0.11429088,0.08266749,0.08111080,0.10819517,0.08234467,1.32949426e-01,7.62885736e-01,3.71199825e-01,9.91526466e-02
74,0.10138474,0.11439365,0.08246424,0.08118419,0.10763229,0.08220749,1.33315817e-01,7.61848502e-01,3.69626215e-01,9.91179918e-02
75,0.10089793,0.11399127,0.08228801,0.08100962,0.10706148,0.08206126,1.33531083e-01,7.56842081e-01,3.67408516e-01,9.87300034e-02
76,0.10042049,0.11372856,0.08210791,0.08077789,0.10650378,0.08190864,1.34117535e-01,7.53076641e-01,3.64575696e-01,9.86512780e-02
77,0.10012258,0.11326552,0.08200125,0.08067733,0.10616680,0.08176208,1.33952435e-01,7.51726253e-01,3.63051467e-01,9.84199386e-02
78,0.09974986,0.11303266,0.08185372,0.08058276,0.10570158,0.08162215,1.34480804e-01,7.45955091e-01,3.59129031e-01,9.80961686e-02
79,0.09941561,0.11303407,0.08169150,0.08044620,0.10528627,0.08148157,1.34371694e-01,7.43645933e-01,3.56609075e-01,9.81496910e-02
80,0.09910683,0.11276898,0.08159894,0.08046777,0.10489508,0.08135610,1.34934923e-01,7.37675753e-01,3.53336728e-01,9.76229991e-02
