epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
69,0.11629105,0.12967132,0.08748515,0.08725357,0.12047714,1.33687263e-01,4.04357240e-01,1.74793353e-01,1.04067925e-01
70,0.11558502,0.12974759,0.08724477,0.08713818,0.11989775,1.34463963e-01,4.12517272e-01,1.78351098e-01,1.03791887e-01
71,0.11506464,0.12989626,0.08704940,0.08698462,0.11948638,1.34897836e-01,4.17592510e-01,1.82247194e-01,1.04056273e-01
72,0.11463477,0.12899213,0.08689412,0.08696801,0.11915994,1.34877376e-01,4.25212804e-01,1.85394434e-01,1.03963420e-01
73,0.11389702,0.12917136,0.08662741,0.08684924,0.11853001,1.35906370e-01,4.29324593e-01,1.89013991e-01,1.03701882e-01
74,0.11347606,0.12929898,0.08647786,0.08678628,0.11822039,1.36168518e-01,4.35727253e-01,1.92233640e-01,1.03793557e-01
75,0.11304555,0.12889982,0.08632183,0.08650773,0.11790048,1.36514415e-01,4.42651352e-01,1.96216944e-01,1.03665084e-01
76,0.11251227,0.12890487,0.08610048,0.08644215,0.11746356,1.36892624e-01,4.47185158e-01,1.99396627e-01,1.03594579e-01
77,0.11180793,0.12796825,0.08580166,0.08638736,0.11687188,1.37652826e-01,4.52168005e-01,2.02721030e-01,1.03446760e-01
78,0.11136366,0.12818908,0.08566525,0.08619434,0.11652648,1.37952612e-01,4.59542113e-01,2.05336568e-01,1.03180930e-01
79,0.11065285,0.12806572,0.08541651,0.08600271,0.11591919,1.38469759e-01,4.62592655e-01,2.08728672e-01,1.03283238e-01
80,0.11026380,0.12789912,0.08529450,0.08590277,0.11564138,1.38485653e-01,4.67386795e-01,2.11743148e-01,1.03285629e-01
81,0.10990817,0.12753215,0.08513325,0.08594200,0.11537212,1.39160408e-01,4.71360842e-01,2.14869875e-01,1.03161107e-01
82,0.10929859,0.12731180,0.08493436,0.08580701,0.11485527,1.39013063e-01,4.77732402e-01,2.17332049e-01,1.03049795e-01
83,0.10888096,0.12656252,0.08477430,0.08563425,0.11455759,1.39661333e-01,4.82338834e-01,2.21050449e-01,1.03089559e-01
84,0.10820391,0.12717511,0.08452735,0.08569742,0.11396143,1.39990726e-01,4.87023235e-01,2.23309339e-01,1.02627822e-01
85,0.10763908,0.12685129,0.08432987,0.08552494,0.11349166,1.40458612e-01,4.89343216e-01,2.25788904e-01,1.02674101e-01
86,0.10729193,0.12601730,0.08421071,0.08534497,0.11323596,1.40873773e-01,4.94202475e-01,2.28838182e-01,1.02548729e-01
87,0.10674171,0.12601622,0.08399137,0.08526134,0.11277255,1.41197832e-01,4.97017397e-01,2.30976869e-01,1.02462802e-01
88,0.10626362,0.12624643,0.08382367,0.08539576,0.11238798,1.41432562e-01,5.00752296e-01,2.34034369e-01,1.02371381e-01
89,0.10583806,0.12520747,0.08368668,0.08497468,0.11202784,1.41611046e-01,5.03750858e-01,2.36109461e-01,1.02238260e-01
90,0.10535562,0.12500327,0.08352973,0.08477883,0.11163411,1.41704680e-01,5.07283766e-01,2.38488809e-01,1.02212282e-01
91,0.10481259,0.12511403,0.08328572,0.08478567,0.11116451,1.42085353e-01,5.12692905e-01,2.40211005e-01,1.01893492e-01
92,0.10447072,0.12497471,0.08320897,0.08473005,0.11089951,1.42381407e-01,5.14809883e-01,2.42684817e-01,1.02116033e-01
93,0.10397060,0.12487026,0.08301457,0.08499852,0.11046228,1.42515724e-01,5.17898338e-01,2.44455098e-01,1.01882355e-01
94,0.10352890,0.12374049,0.08287097,0.08440499,0.11009048,1.43016286e-01,5.20286385e-01,2.46630431e-01,1.01644569e-01
95,0.10301918,0.12379866,0.08266922,0.08440774,0.10962978,1.43057372e-01,5.21649007e-01,2.48069720e-01,1.01442679e-01
96,0.10260386,0.12359085,0.08251775,0.08438403,0.10930311,1.43363765e-01,5.25603925e-01,2.50265235e-01,1.01777979e-01
97,0.10225714,0.12300703,0.08239750,0.08414534,0.10898756,1.43375481e-01,5.26175176e-01,2.51332472e-01,1.01454720e-01
98,0.10177701,0.12309878,0.08222651,0.08426180,0.10859721,1.43870538e-01,5.31812714e-01,2.53591846e-01,1.01435808e-01
99,0.10152579,0.12235425,0.08213670,0.08413074,0.10842277,1.44020240e-01,5.34070019e-01,2.56178737e-01,1.01183231e-01
100,0.10098874,0.12268579,0.08196128,0.08404538,0.10789179,1.44075130e-01,5.32260515e-01,2.56793288e-01,1.01115806e-01
101,0.10055449,0.12184561,0.08179564,0.08370029,0.10750994,1.44388844e-01,5.35780200e-01,2.57733968e-01,1.01138608e-01
102,0.10000340,0.12166849,0.08156319,0.08362919,0.10703020,1.44683560e-01,5.37289210e-01,2.59500333e-01,1.00939370e-01
103,0.09975542,0.12164044,0.08148102,0.08370784,0.10682905,1.44710753e-01,5.40930622e-01,2.60796206e-01,1.01002668e-01
104,0.09956976,0.12169725,0.08140680,0.08381983,0.10664537,1.44679373e-01,5.39940582e-01,2.61652269e-01,1.00886370e-01
105,0.09901514,0.12116138,0.08124496,0.08368409,0.10613663,1.44686349e-01,5.44292462e-01,2.62449761e-01,1.00804592e-01
106,0.09873390,0.12022322,0.08112203,0.08328354,0.10588772,1.44843548e-01,5.43919260e-01,2.63536207e-01,1.00666942e-01
107,0.09825889,0.12050224,0.08097325,0.08343474,0.10544850,1.45279524e-01,5.44949685e-01,2.64091519e-01,1.00492557e-01
108,0.09802566,0.12025441,0.08084925,0.08318283,0.10520614,1.45305243e-01,5.44245331e-01,2.64760868e-01,1.00349572e-01
109,0.09769444,0.11989114,0.08074090,0.08314167,0.10490908,1.45372061e-01,5.46496486e-01,2.65281271e-01,1.00350817e-01
110,0.09722735,0.12000947,0.08059149,0.08301627,0.10449780,1.45578094e-01,5.51393535e-01,2.66173211e-01,1.00233589e-01
