epoch,train_loss,val_loss,train_rmse,val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
80,0.10347704,0.10039088,0.31654349,0.07555057,1.22636769e-01,1.03343700e-01,8.04970134e-02,2.80531407e-02
81,0.10345842,0.10010594,0.31650622,0.07524480,1.22455768e-01,1.03608852e-01,8.06871201e-02,2.79783154e-02
82,0.10336098,0.09969713,0.31635235,0.07535203,1.22551160e-01,1.03690096e-01,8.06468073e-02,2.79832948e-02
83,0.10318618,0.10003028,0.31606817,0.07540053,1.22760508e-01,1.03722326e-01,8.05522603e-02,2.80734554e-02
84,0.10303960,0.10038606,0.31582381,0.07553691,1.22925251e-01,1.03642458e-01,8.05733001e-02,2.80854834e-02
85,0.10307699,0.09999603,0.31587988,0.07541643,1.22925500e-01,1.03728636e-01,8.06179057e-02,2.80416193e-02
86,0.10289967,0.10024856,0.31559562,0.07548347,1.22970694e-01,1.03698163e-01,8.07169262e-02,2.81402093e-02
87,0.10288594,0.09989294,0.31556513,0.07541893,1.23094077e-01,1.03789915e-01,8.08137902e-02,2.79990310e-02
88,0.10280623,0.10016158,0.31546621,0.07545745,1.22769919e-01,1.03328841e-01,8.06891553e-02,2.79982971e-02
89,0.10282753,0.10010077,0.31548037,0.07541928,1.23120962e-01,1.03285734e-01,8.06260189e-02,2.80062066e-02
90,0.10282085,0.10010629,0.31546262,0.07542457,1.23112666e-01,1.03773682e-01,8.06867820e-02,2.79487410e-02
91,0.10305331,0.09973203,0.31581395,0.07539744,1.23157148e-01,1.04599585e-01,8.06869830e-02,2.80746411e-02
92,0.10283050,0.10040707,0.31546164,0.07537330,1.22959248e-01,1.04562568e-01,8.06761467e-02,2.81587643e-02
93,0.10286208,0.10029596,0.31550583,0.07551155,1.23148621e-01,1.04633043e-01,8.06010898e-02,2.82615024e-02
94,0.10270633,0.10019317,0.31524777,0.07555872,1.23222648e-01,1.05158424e-01,8.06975394e-02,2.80743228e-02
95,0.10258838,0.09969934,0.31506021,0.07532694,1.23331068e-01,1.04476091e-01,8.07437950e-02,2.82266581e-02
96,0.10240269,0.09952991,0.31474640,0.07528824,1.23292517e-01,1.04852775e-01,8.06542208e-02,2.84537000e-02
97,0.10230411,0.10019567,0.31457329,0.07545927,1.23627540e-01,1.05321622e-01,8.07220778e-02,2.81217848e-02
98,0.10219260,0.10033786,0.31440996,0.07554094,1.23620154e-01,1.04576916e-01,8.06828468e-02,2.83581931e-02
99,0.10203187,0.10008407,0.31412958,0.07544410,1.23977939e-01,1.04892335e-01,8.07266766e-02,2.83751363e-02
100,0.10207050,0.09974839,0.31420381,0.07534944,1.23678795e-01,1.04718898e-01,8.08473364e-02,2.81721776e-02
101,0.10197992,0.09966829,0.31405627,0.07528352,1.23681561e-01,1.04930520e-01,8.07633927e-02,2.82851069e-02
102,0.10197226,0.09994586,0.31403963,0.07531570,1.23768651e-01,1.04999608e-01,8.07466745e-02,2.84225206e-02
103,0.10181843,0.09973090,0.31379427,0.07531417,1.23940348e-01,1.04840923e-01,8.07329012e-02,2.83143336e-02
104,0.10176570,0.09980988,0.31370088,0.07535197,1.24102882e-01,1.05034583e-01,8.07937427e-02,2.82040803e-02
105,0.10182270,0.09981100,0.31379549,0.07535914,1.24012542e-01,1.04640440e-01,8.09114497e-02,2.81961974e-02
106,0.10194643,0.10008673,0.31396125,0.07564859,1.23943314e-01,1.06299834e-01,8.07944843e-02,2.83982373e-02
107,0.10196149,0.10043231,0.31397794,0.07573909,1.23965338e-01,1.06515963e-01,8.08607015e-02,2.83619605e-02
108,0.10174446,0.09917413,0.31363484,0.07525707,1.23998429e-01,1.06419120e-01,8.07522983e-02,2.82973167e-02
109,0.10170106,0.09955589,0.31354522,0.07537581,1.24205448e-01,1.06624382e-01,8.08439331e-02,2.85348884e-02
110,0.10149510,0.09971861,0.31321491,0.07540242,1.24511625e-01,1.06559469e-01,8.06971209e-02,2.84604005e-02
111,0.10149226,0.09890253,0.31320247,0.07511047,1.24342921e-01,1.06942085e-01,8.09216641e-02,2.84499633e-02
112,0.10146716,0.09963704,0.31318052,0.07540197,1.24227103e-01,1.05989484e-01,8.07485981e-02,2.83899198e-02
113,0.10130544,0.09973579,0.31289886,0.07549036,1.24439849e-01,1.06694231e-01,8.08485544e-02,2.84552127e-02
114,0.10108203,0.09944319,0.31253340,0.07535352,1.24649009e-01,1.06733586e-01,8.08080899e-02,2.85472590e-02
115,0.10111596,0.09924135,0.31259435,0.07528031,1.24585542e-01,1.06437957e-01,8.08006683e-02,2.85558264e-02
116,0.10105173,0.09949558,0.31249018,0.07532243,1.24548305e-01,1.06758201e-01,8.08149107e-02,2.85403626e-02
117,0.10102357,0.09949922,0.31244295,0.07526170,1.24681006e-01,1.06256295e-01,8.07182181e-02,2.84680522e-02
118,0.10086517,0.09946425,0.31219394,0.07530885,1.24684949e-01,1.06061703e-01,8.08426214e-02,2.84458072e-02
119,0.10084551,0.09946564,0.31215943,0.07532762,1.24683364e-01,1.06069120e-01,8.08460002e-02,2.84600314e-02
120,0.10094715,0.09942760,0.31231667,0.07529857,1.24792045e-01,1.06247963e-01,8.08136280e-02,2.85065860e-02
121,0.10116666,0.09923612,0.31264751,0.07533437,1.24692620e-01,1.07155073e-01,8.08897147e-02,2.85879929e-02
122,0.10093863,0.09958114,0.31227080,0.07537696,1.24878668e-01,1.07542862e-01,8.09287631e-02,2.85603909e-02
123,0.10095142,0.09964855,0.31229538,0.07550348,1.24844733e-01,1.07236675e-01,8.07875842e-02,2.87159735e-02
124,0.10077690,0.10042454,0.31201110,0.07566057,1.24951061e-01,1.07411344e-01,8.07432092e-02,2.85405558e-02
125,0.10073026,0.09978154,0.31193030,0.07538216,1.25008200e-01,1.07445196e-01,8.07119831e-02,2.86179691e-02
126,0.10067562,0.09984835,0.31183019,0.07542623,1.25106353e-01,1.07757968e-01,8.07611425e-02,2.86077250e-02
127,0.10047246,0.09954848,0.31149715,0.07548378,1.25125842e-01,1.07818592e-01,8.07707818e-02,2.86070145e-02
128,0.10034335,0.09956817,0.31129052,0.07534194,1.25139704e-01,1.07310824e-01,8.08671001e-02,2.87962563e-02
129,0.10045285,0.09952374,0.31147042,0.07538106,1.25286611e-01,1.07727737e-01,8.06718771e-02,2.87481594e-02
130,0.10036022,0.09919056,0.31133745,0.07530334,1.25047050e-01,1.06573449e-01,8.07549545e-02,2.87458431e-02
131,0.10020696,0.09977643,0.31108216,0.07541227,1.25218093e-01,1.07287503e-01,8.07374510e-02,2.86951237e-02
132,0.10015483,0.09947449,0.31098039,0.07530713,1.25451858e-01,1.07451967e-01,8.06653390e-02,2.86290991e-02
133,0.10006421,0.09937826,0.31084081,0.07530155,1.25401508e-01,1.07134213e-01,8.07103984e-02,2.86952363e-02
134,0.10004868,0.09949243,0.31081040,0.07533649,1.25115011e-01,1.07522928e-01,8.07904210e-02,2.87558748e-02
