epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
93,0.09834368,0.10998614,0.08143068,0.08042544,0.10250687,1.33956707e-01,1.81632107e-01,1.02690525e-01,5.65560230e-02
94,0.09808145,0.11073602,0.08130661,0.08059745,0.10225084,1.33963330e-01,1.80738598e-01,1.02884698e-01,5.64256659e-02
95,0.09794694,0.11055651,0.08129475,0.08055077,0.10212125,1.34153050e-01,1.82035260e-01,1.02581999e-01,5.65148425e-02
96,0.09778375,0.11096667,0.08119064,0.08074812,0.10196295,1.34279893e-01,1.81701199e-01,1.02825239e-01,5.65295288e-02
97,0.09759353,0.11033579,0.08112187,0.08061416,0.10179125,1.34531363e-01,1.81625803e-01,1.02876002e-01,5.64791905e-02
98,0.09748173,0.11058074,0.08109183,0.08063455,0.10168347,1.34768686e-01,1.81995024e-01,1.02758081e-01,5.65435622e-02
99,0.09742815,0.11032920,0.08106540,0.08066713,0.10163385,1.34565909e-01,1.82638319e-01,1.02949269e-01,5.65077080e-02
100,0.09723055,0.11053771,0.08097095,0.08061698,0.10143943,1.34714521e-01,1.82478960e-01,1.02942870e-01,5.65865653e-02
101,0.09704233,0.11049932,0.08093010,0.08065275,0.10126379,1.34861438e-01,1.82945461e-01,1.03156135e-01,5.64393848e-02
102,0.09718199,0.11052647,0.08097928,0.08056470,0.10139472,1.34912268e-01,1.82630472e-01,1.02818900e-01,5.65711066e-02
103,0.09706377,0.11056624,0.08092813,0.08058789,0.10128244,1.35027791e-01,1.83623110e-01,1.03061077e-01,5.64039514e-02
