epoch,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
196,0.123517,0.259218,0.125745,0.178856
197,0.123104,0.260493,0.124563,0.179338
198,0.123893,0.259299,0.124498,0.178237
199,0.12372,0.25681,0.124078,0.177332
200,0.123779,0.25485,0.123528,0.176862
201,0.123867,0.255734,0.122733,0.175956
202,0.123922,0.251752,0.122527,0.176243
203,0.123759,0.252329,0.121703,0.175525
204,0.124087,0.250002,0.121508,0.174239
205,0.124242,0.249901,0.121014,0.173125
206,0.124225,0.247863,0.120502,0.172494
207,0.123762,0.246581,0.120104,0.172223
208,0.12388,0.245458,0.119706,0.171793
209,0.123655,0.243984,0.119325,0.17081
210,0.123668,0.242821,0.118897,0.170406
211,0.124178,0.242527,0.118157,0.169883
212,0.124224,0.240464,0.117818,0.169813
213,0.123916,0.241123,0.117481,0.169292
214,0.124044,0.238724,0.117306,0.16927
215,0.124058,0.237005,0.116608,0.168078
216,0.124682,0.235982,0.11651,0.167129
217,0.124421,0.235452,0.116297,0.166448
218,0.12414,0.235129,0.115758,0.166034
219,0.124276,0.233789,0.115178,0.166159
220,0.124143,0.232468,0.11509,0.165207
221,0.124204,0.230514,0.114545,0.1647
222,0.123991,0.228799,0.114374,0.164564
223,0.124458,0.229889,0.114159,0.163314
224,0.123944,0.228682,0.113745,0.162157
225,0.124811,0.227994,0.113109,0.16207
226,0.124588,0.225739,0.112711,0.161192
227,0.124481,0.225605,0.112685,0.161718
228,0.124622,0.225132,0.11229,0.160884
229,0.124912,0.223477,0.112184,0.160642
230,0.124638,0.224958,0.111515,0.160384
231,0.124539,0.222035,0.111339,0.158838
232,0.124336,0.221757,0.111198,0.159187
233,0.124606,0.220695,0.110638,0.159033
