epoch,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
215,0.14752,0.459065,0.190446,0.0857007
216,0.147624,0.45547,0.189325,0.0857547
217,0.147602,0.45087,0.188552,0.0853617
218,0.147244,0.447813,0.186743,0.0856237
219,0.147703,0.447768,0.185813,0.0852089
220,0.147752,0.443811,0.184883,0.084974
221,0.14796,0.44325,0.183801,0.0844854
222,0.14761,0.439819,0.182342,0.0845193
223,0.147485,0.436781,0.181179,0.0841498
224,0.147459,0.436122,0.180237,0.0842617
225,0.147941,0.430082,0.179637,0.0840054
226,0.147676,0.427104,0.177394,0.0837777
227,0.148327,0.4244,0.17712,0.0839022
228,0.147981,0.42018,0.175997,0.0836546
229,0.148213,0.416302,0.175265,0.0833227
230,0.147941,0.414283,0.173663,0.0831705
231,0.147847,0.412636,0.17293,0.0829776
232,0.147922,0.409873,0.171849,0.0829338
233,0.147861,0.409237,0.170985,0.0826172
234,0.148394,0.407333,0.170486,0.0824497
235,0.148316,0.403687,0.169376,0.0820921
236,0.148448,0.401734,0.168172,0.0822926
237,0.148169,0.399219,0.167616,0.081668
238,0.148227,0.395912,0.166532,0.0814491
239,0.14855,0.394935,0.166089,0.0812618
240,0.148269,0.392422,0.164897,0.081133
241,0.14873,0.389453,0.164148,0.0808422
242,0.148257,0.387558,0.163146,0.0811243
243,0.148506,0.385378,0.162727,0.0809893
244,0.14873,0.383372,0.161539,0.0809668
245,0.14839,0.380351,0.1607,0.080967
246,0.148386,0.378554,0.159829,0.0804583
247,0.148234,0.37462,0.15893,0.0801371
248,0.148622,0.373738,0.158126,0.0801277
249,0.14844,0.36967,0.15728,0.0800539
250,0.148151,0.368294,0.156717,0.0796725
251,0.148579,0.366072,0.156663,0.07907
252,0.148287,0.367897,0.155296,0.0792763
253,0.148319,0.363834,0.154342,0.0791695
254,0.148367,0.362925,0.154362,0.0790097
255,0.148538,0.358947,0.15338,0.0788903
256,0.148401,0.357944,0.152694,0.0788868
257,0.148656,0.35681,0.151944,0.078801
258,0.148636,0.354488,0.151197,0.078513
259,0.148821,0.351181,0.150869,0.0780554
260,0.148687,0.349284,0.149813,0.078374
261,0.149041,0.350249,0.149414,0.0777327
262,0.148952,0.34811,0.148926,0.0775879
263,0.148957,0.346093,0.147894,0.0776346
264,0.149091,0.344909,0.147215,0.0774782
265,0.148608,0.344395,0.146932,0.0772898
266,0.149177,0.340634,0.146444,0.0771032
267,0.148994,0.337845,0.145546,0.0769582
268,0.148777,0.338484,0.145671,0.0764541
269,0.149143,0.336352,0.144667,0.076443
270,0.148803,0.333481,0.144032,0.0764636
271,0.14868,0.333139,0.14318,0.0763402
272,0.148907,0.331369,0.142373,0.0758445
273,0.149058,0.328494,0.142314,0.0757565
274,0.148738,0.327117,0.141593,0.0757884
275,0.148855,0.326743,0.140992,0.0754322
276,0.14912,0.325274,0.141049,0.0749983
277,0.148993,0.323042,0.140307,0.0745426
278,0.149017,0.321127,0.139563,0.074727
279,0.149082,0.321425,0.139267,0.0749271
280,0.148773,0.319153,0.138561,0.0749897
281,0.149214,0.316294,0.138369,0.0745655
282,0.149137,0.31591,0.137534,0.0745406
283,0.14922,0.314543,0.137324,0.0741655
284,0.149075,0.312243,0.136716,0.073873
285,0.149222,0.313678,0.135963,0.0741976
286,0.149258,0.309376,0.135908,0.0738601
287,0.149573,0.30833,0.1356,0.0735879
288,0.149182,0.308251,0.134811,0.0730916
289,0.149241,0.3073,0.134566,0.0731829
290,0.149323,0.308031,0.133922,0.0731946
291,0.149291,0.303884,0.133639,0.0728037
292,0.149478,0.303092,0.133487,0.07288
293,0.149285,0.300916,0.132651,0.072799
294,0.149567,0.300637,0.132295,0.0726738
295,0.149319,0.29892,0.131926,0.0727992
296,0.14946,0.298568,0.131439,0.0722587
297,0.149356,0.296219,0.131345,0.0718325
298,0.149349,0.296573,0.130846,0.0721154
299,0.149135,0.294324,0.13015,0.0717901
300,0.149546,0.294441,0.130212,0.0717443
301,0.149249,0.291617,0.129721,0.0714597
302,0.14907,0.292519,0.129075,0.071402
303,0.148753,0.291077,0.129296,0.0711991
304,0.149259,0.289949,0.128648,0.0712147
305,0.149842,0.288006,0.128566,0.0706878
306,0.14958,0.286702,0.127856,0.0706166
307,0.149157,0.285399,0.127565,0.0704044
308,0.149954,0.285538,0.127735,0.0701443
309,0.149431,0.283741,0.126898,0.0701525
310,0.149696,0.282527,0.126769,0.069857
311,0.149499,0.280555,0.126544,0.0695472
312,0.149776,0.280145,0.125903,0.0699535
313,0.149648,0.280811,0.125753,0.0697438
314,0.150196,0.278978,0.125483,0.0693612
315,0.149953,0.277462,0.125312,0.0692718
316,0.149589,0.277023,0.124523,0.0696011
317,0.150054,0.27612,0.124464,0.06928
318,0.149541,0.27485,0.124033,0.0688948
319,0.149842,0.274273,0.123727,0.0686188
320,0.149872,0.273175,0.123447,0.0689589
321,0.149863,0.272309,0.122968,0.0684582
322,0.149713,0.27129,0.12324,0.0679706
323,0.149847,0.271026,0.12267,0.0682996
324,0.149642,0.267367,0.122434,0.0680731
325,0.149687,0.270838,0.122081,0.0680891
326,0.149875,0.268253,0.121705,0.0676991
327,0.150263,0.267432,0.121422,0.0676071
328,0.149795,0.265548,0.121112,0.0676391
329,0.149681,0.266246,0.121027,0.0674222
330,0.149698,0.264475,0.121045,0.066921
331,0.150012,0.265189,0.120638,0.0667727
332,0.150032,0.264012,0.120246,0.0672349
333,0.149996,0.262291,0.120118,0.0668193
334,0.149798,0.261086,0.119947,0.0667471
335,0.149836,0.261275,0.119561,0.0666776
336,0.149875,0.260613,0.119614,0.0663976
337,0.149909,0.259828,0.119272,0.0661259
338,0.149754,0.258236,0.118898,0.0662526
339,0.150486,0.258,0.118372,0.0665875
340,0.149864,0.257787,0.11829,0.0660283
341,0.149648,0.257122,0.118148,0.0657827
342,0.149919,0.256381,0.117639,0.0659334
343,0.150219,0.256778,0.117388,0.0659187
344,0.150092,0.254946,0.117482,0.0655701
345,0.14985,0.255135,0.117072,0.0655885
346,0.149892,0.254049,0.116633,0.065587
347,0.149977,0.252501,0.116559,0.0651281
348,0.149921,0.251852,0.116445,0.0652434
349,0.150035,0.25117,0.116228,0.0654813
350,0.150361,0.250611,0.116025,0.0651686
351,0.150108,0.248352,0.115617,0.0647038
352,0.150156,0.249843,0.115783,0.0648067
353,0.150311,0.249661,0.115859,0.0646764
354,0.149924,0.248543,0.115537,0.0643004
355,0.150062,0.248876,0.115251,0.0643987
356,0.15008,0.248547,0.115244,0.0641487
357,0.150209,0.248012,0.114818,0.0639051
358,0.150299,0.248265,0.114683,0.0640886
359,0.14999,0.247063,0.114473,0.0635649
