architecture,epoch,train_rmse,val_rmse,overfit_gap
FNN,179,0.0681144,0.0842949,0.0161805
FNN,180,0.0682589,0.0841819,0.015923
FNN,181,0.0686452,0.0843831,0.0157379
FNN,182,0.0688455,0.0844424,0.0155969
FNN,183,0.0685927,0.0838724,0.0152797
FNN,184,0.0686609,0.0845946,0.0159337
FNN,185,0.0683797,0.0848057,0.016426
FNN,186,0.0684099,0.0842028,0.0157928
FNN,187,0.0682001,0.0847641,0.0165641
FNN,188,0.0680059,0.0841531,0.0161472
FNN,189,0.0679666,0.0841679,0.0162013
FNN,190,0.0677647,0.0845447,0.01678
FNN,191,0.0677419,0.0843307,0.0165888
FNN,192,0.0677534,0.0843498,0.0165964
FNN,193,0.0676161,0.0841378,0.0165217
FNN,194,0.067512,0.0842016,0.0166897
FNN,195,0.0674872,0.0842669,0.0167797
FNN,196,0.0679642,0.0844633,0.0164992
FNN,197,0.0680679,0.084538,0.0164701
FNN,198,0.0679749,0.0849783,0.0170034
FNN,199,0.0677891,0.0845432,0.0167541
FNN,200,0.0676017,0.0842333,0.0166316
FNN,201,0.0677254,0.0847405,0.0170152
FNN,202,0.0673837,0.0842229,0.0168392
FNN,203,0.0674576,0.0842969,0.0168393
FNN,204,0.0672015,0.0842619,0.0170603
FNN,205,0.0672647,0.0837915,0.0165268
FNN,206,0.0670437,0.0843052,0.0172615
FNN,207,0.0670044,0.0840003,0.0169959
FNN,208,0.0669088,0.0842735,0.0173647
FNN,209,0.0669011,0.0841503,0.0172492
FNN,210,0.0671055,0.0842154,0.0171099
FNN,211,0.0672845,0.0844061,0.0171216
FNN,212,0.0674889,0.0850616,0.0175727
FNN,213,0.0674217,0.0842608,0.016839
FNN,214,0.0673762,0.0842975,0.0169212
FNN,215,0.0673729,0.0840857,0.0167127
FNN,216,0.0672294,0.0840329,0.0168034
FNN,217,0.0669774,0.0841432,0.0171658
FNN,218,0.0668691,0.0843886,0.0175195
FNN,219,0.0667437,0.0840256,0.0172819
FNN,220,0.0666526,0.0840925,0.0174399
FNN,221,0.0665589,0.0841897,0.0176309
FNN,222,0.0665194,0.0842035,0.0176842
FNN,223,0.066387,0.0841272,0.0177402
FNN,224,0.066342,0.0840462,0.0177042
FNN,225,0.0663444,0.0841239,0.0177795
FNN,226,0.0667741,0.0847828,0.0180087
FNN,227,0.0669454,0.0847965,0.0178512
FNN,228,0.0668769,0.0843105,0.0174335
FNN,229,0.0668337,0.0843836,0.0175499
FNN,230,0.0667916,0.0845639,0.0177723
FNN,231,0.0664955,0.084001,0.0175055
FNN,232,0.0663597,0.0846344,0.0182747
FNN,233,0.0662614,0.0841984,0.017937
FNN,234,0.0662914,0.0845376,0.0182462
FNN,235,0.065962,0.0842571,0.0182951
FNN,236,0.0660533,0.0843552,0.0183019
FNN,237,0.0659864,0.0842578,0.0182714
FNN,238,0.0658334,0.0841826,0.0183492
FNN,239,0.0659221,0.0842559,0.0183338
FNN,240,0.0657659,0.0842673,0.0185014
FNN,241,0.0663495,0.0846589,0.0183094
FNN,242,0.0663886,0.0844793,0.0180907
FNN,243,0.0663192,0.0849659,0.0186467
FNN,244,0.0663019,0.0842929,0.017991
FNN,245,0.066375,0.0837813,0.0174063
FNN,246,0.0662751,0.0845305,0.0182554
FNN,247,0.0660962,0.0839707,0.0178744
FNN,248,0.0659249,0.0841563,0.0182314
FNN,249,0.0657443,0.0846463,0.0189019
FNN,250,0.0656852,0.0840011,0.0183159
FNN,251,0.0655048,0.084313,0.0188082
FNN,252,0.0653359,0.0843228,0.0189869
FNN,253,0.065537,0.0843167,0.0187797
FNN,254,0.0654835,0.0842798,0.0187963
FNN,255,0.0654192,0.0842481,0.0188289
FNN,256,0.0658823,0.0851836,0.0193013
FNN,257,0.0659976,0.0844613,0.0184637
FNN,258,0.0658686,0.0840393,0.0181707
FNN,259,0.0658715,0.0846688,0.0187973
FNN,260,0.0657148,0.0844229,0.0187082
FNN,261,0.0655563,0.0846981,0.0191418
FNN,262,0.0656855,0.0844638,0.0187783
