epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
70,0.11271440,0.12042853,0.08774605,0.08390676,0.11289083,0.09088044,0.08397815,1.23238783e-01,1.87119499e-01,1.30415152e-01,3.62343071e-02
71,0.11217944,0.12035194,0.08764471,0.08381778,0.11235745,0.09068641,0.08395551,1.23765879e-01,1.85616558e-01,1.30887302e-01,3.58157043e-02
72,0.11245474,0.12010899,0.08775429,0.08375682,0.11263048,0.09080990,0.08393106,1.24586270e-01,1.86640772e-01,1.29803208e-01,3.52866349e-02
73,0.11248758,0.12032783,0.08776491,0.08388190,0.11266071,0.09085993,0.08391964,1.23065517e-01,1.84036008e-01,1.28883656e-01,3.59599653e-02
74,0.11236446,0.12020551,0.08768989,0.08374700,0.11254031,0.09059339,0.08389740,1.25565640e-01,1.82048216e-01,1.29027206e-01,3.56148586e-02
75,0.11219289,0.12009693,0.08761516,0.08371880,0.11236717,0.09074999,0.08387402,1.24451393e-01,1.82785682e-01,1.29279041e-01,3.54815054e-02
76,0.11187802,0.11994993,0.08748482,0.08375063,0.11205285,0.09090612,0.08385742,1.24791210e-01,1.83512470e-01,1.29400063e-01,3.51723024e-02
77,0.11180061,0.12005520,0.08756919,0.08382637,0.11197629,0.09072029,0.08384986,1.25032138e-01,1.82177313e-01,1.29575948e-01,3.48718134e-02
78,0.11165107,0.12003185,0.08745867,0.08380608,0.11182723,0.09070769,0.08384089,1.25107842e-01,1.84543170e-01,1.29847024e-01,3.44146573e-02
79,0.11148884,0.11986319,0.08733686,0.08376771,0.11166394,0.09066780,0.08382930,1.25237033e-01,1.81828251e-01,1.29939643e-01,3.44657324e-02
80,0.11152098,0.11975232,0.08745986,0.08365241,0.11169827,0.09073197,0.08380806,1.26386336e-01,1.82722981e-01,1.29546296e-01,3.49810680e-02
81,0.11104820,0.11991501,0.08728207,0.08376689,0.11122679,0.09069566,0.08379866,1.26422743e-01,1.83968908e-01,1.30490641e-01,3.44996448e-02
82,0.11118547,0.11978211,0.08734855,0.08369342,0.11136243,0.09059740,0.08378507,1.25684936e-01,1.86219245e-01,1.29942285e-01,3.44064712e-02
83,0.11136100,0.11974873,0.08727427,0.08367015,0.11153904,0.09046759,0.08377026,1.26661061e-01,1.84037922e-01,1.30182908e-01,3.47760206e-02
84,0.11084304,0.11958918,0.08715238,0.08369832,0.11102193,0.09040344,0.08376010,1.27200851e-01,1.83919710e-01,1.30488840e-01,3.43724851e-02
85,0.11099745,0.11949428,0.08721911,0.08362066,0.11117745,0.09050175,0.08374288,1.27311872e-01,1.86279167e-01,1.30158499e-01,3.44376680e-02
86,0.11067863,0.11957957,0.08707454,0.08364359,0.11085896,0.09042971,0.08373032,1.27742307e-01,1.84711266e-01,1.30622388e-01,3.38358838e-02
87,0.11063056,0.11969242,0.08711512,0.08374591,0.11081049,0.09038158,0.08372800,1.27138808e-01,1.84819537e-01,1.31120306e-01,3.36695423e-02
88,0.11035353,0.11963145,0.08703318,0.08367186,0.11053456,0.09033616,0.08371870,1.28287317e-01,1.84671409e-01,1.30905698e-01,3.39514195e-02
89,0.11067564,0.11951042,0.08709835,0.08364025,0.11085509,0.09027258,0.08370722,1.27808258e-01,1.84806709e-01,1.30502197e-01,3.37960988e-02
