epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
56,0.11897860,0.12811109,0.08843322,0.08691486,0.12494955,0.08764385,1.26836053e-01,2.42999881e-01,1.10038588e-01,9.95768007e-02
57,0.11836206,0.12791654,0.08820479,0.08681135,0.12447702,0.08755489,1.27465999e-01,2.49468885e-01,1.12912298e-01,9.94818965e-02
58,0.11764739,0.12617854,0.08792660,0.08605073,0.12390172,0.08740454,1.28274215e-01,2.53717280e-01,1.15482869e-01,9.93476025e-02
59,0.11713530,0.12736061,0.08776195,0.08653294,0.12352391,0.08730702,1.28326681e-01,2.58847759e-01,1.18536912e-01,9.94055870e-02
60,0.11649871,0.12747845,0.08750380,0.08641539,0.12305045,0.08720745,1.28773026e-01,2.65003077e-01,1.21735208e-01,9.93894874e-02
61,0.11601216,0.12717223,0.08736542,0.08617149,0.12266847,0.08709592,1.29116682e-01,2.66976176e-01,1.24113808e-01,9.94125409e-02
62,0.11526130,0.12653714,0.08708630,0.08595828,0.12208928,0.08697772,1.29372179e-01,2.76027069e-01,1.27245984e-01,9.90889910e-02
63,0.11477829,0.12722406,0.08693369,0.08619474,0.12171586,0.08688748,1.29693990e-01,2.76583298e-01,1.29928817e-01,9.93340316e-02
64,0.11426698,0.12659441,0.08672583,0.08590416,0.12135418,0.08677607,1.29779346e-01,2.83539007e-01,1.32450041e-01,9.91427344e-02
65,0.11349918,0.12670143,0.08644280,0.08582796,0.12072424,0.08666687,1.30240821e-01,2.88721244e-01,1.34786229e-01,9.89797705e-02
66,0.11277935,0.12628017,0.08620548,0.08575252,0.12014929,0.08656294,1.30522436e-01,2.92459293e-01,1.37254653e-01,9.88648918e-02
67,0.11219888,0.12665962,0.08599596,0.08582990,0.11968836,0.08647782,1.31018946e-01,2.95401790e-01,1.39370380e-01,9.89242986e-02
68,0.11172365,0.12645071,0.08582860,0.08575214,0.11934085,0.08638758,1.31264042e-01,2.98425694e-01,1.42039847e-01,9.88192789e-02
69,0.11108800,0.12612062,0.08561275,0.08557539,0.11881548,0.08629343,1.31429237e-01,3.00416383e-01,1.44493800e-01,9.85666050e-02
70,0.11064376,0.12557386,0.08547432,0.08514551,0.11849887,0.08616486,1.31554942e-01,3.05887959e-01,1.46549072e-01,9.87681103e-02
71,0.11005284,0.12599262,0.08525527,0.08537208,0.11802807,0.08608575,1.31707734e-01,3.08063300e-01,1.48588930e-01,9.86509720e-02
72,0.10932415,0.12534414,0.08499430,0.08497046,0.11742559,0.08596560,1.32175727e-01,3.12342841e-01,1.50889029e-01,9.83277370e-02
73,0.10889665,0.12527682,0.08484346,0.08465173,0.11708060,0.08582945,1.32164025e-01,3.13677750e-01,1.52763579e-01,9.85509142e-02
74,0.10826234,0.12465350,0.08465227,0.08462090,0.11659837,0.08570472,1.32307104e-01,3.18507382e-01,1.55086024e-01,9.82208570e-02
75,0.10768321,0.12420104,0.08441902,0.08450841,0.11609557,0.08558445,1.33002103e-01,3.19964580e-01,1.56274121e-01,9.80612164e-02
76,0.10736941,0.12467872,0.08432622,0.08460336,0.11589984,0.08548325,1.32342955e-01,3.21684807e-01,1.58987712e-01,9.82663823e-02
77,0.10673036,0.12421670,0.08407625,0.08423354,0.11536075,0.08535449,1.32764644e-01,3.25921473e-01,1.60122395e-01,9.80722284e-02
78,0.10607298,0.12348797,0.08384322,0.08416509,0.11477534,0.08523554,1.33184832e-01,3.26782110e-01,1.61611037e-01,9.77747797e-02
79,0.10559318,0.12290632,0.08365972,0.08409950,0.11438547,0.08511655,1.33577111e-01,3.31067751e-01,1.63158879e-01,9.73862926e-02
80,0.10524159,0.12366137,0.08352350,0.08411136,0.11411466,0.08501722,1.33384324e-01,3.31986459e-01,1.64670130e-01,9.75268854e-02
81,0.10464629,0.12247439,0.08332607,0.08368293,0.11359984,0.08488445,1.33807824e-01,3.33114045e-01,1.66121627e-01,9.72798523e-02
82,0.10406112,0.12310629,0.08313161,0.08389940,0.11306441,0.08478483,1.33538419e-01,3.34947632e-01,1.67132082e-01,9.71212481e-02
83,0.10362113,0.12317296,0.08295693,0.08370827,0.11271910,0.08467801,1.34297826e-01,3.35982795e-01,1.68656857e-01,9.68503922e-02
84,0.10306774,0.12198861,0.08275428,0.08350586,0.11219066,0.08456277,1.34361070e-01,3.38287785e-01,1.69014199e-01,9.65566854e-02
85,0.10272694,0.12183078,0.08264580,0.08333385,0.11193904,0.08443940,1.34242094e-01,3.38834257e-01,1.70815923e-01,9.66386152e-02
86,0.10210924,0.12141180,0.08241484,0.08327728,0.11137706,0.08431533,1.34341299e-01,3.41559831e-01,1.71462423e-01,9.64409826e-02
87,0.10180763,0.12149903,0.08230926,0.08319791,0.11111102,0.08420660,1.34830248e-01,3.41389169e-01,1.72456051e-01,9.63190064e-02
88,0.10098807,0.12081078,0.08198543,0.08297969,0.11035259,0.08407924,1.34894618e-01,3.44793240e-01,1.73192545e-01,9.61014068e-02
89,0.10062092,0.12031252,0.08186333,0.08307013,0.10999894,0.08397557,1.35175873e-01,3.44093628e-01,1.73837843e-01,9.59009069e-02
90,0.10032144,0.11932695,0.08174207,0.08262527,0.10973118,0.08384016,1.35499551e-01,3.42374566e-01,1.74703456e-01,9.56042595e-02
91,0.09979979,0.11880985,0.08152429,0.08256899,0.10925633,0.08371104,1.35527115e-01,3.46346662e-01,1.75187775e-01,9.55839824e-02
92,0.09939994,0.12012574,0.08142340,0.08270138,0.10888879,0.08360762,1.35808551e-01,3.47879442e-01,1.75653684e-01,9.52908567e-02
93,0.09894102,0.11900968,0.08122576,0.08254976,0.10844808,0.08350051,1.35836081e-01,3.46188201e-01,1.76295876e-01,9.49587018e-02
94,0.09851270,0.11853530,0.08107050,0.08233309,0.10802740,0.08337929,1.36112597e-01,3.48263828e-01,1.76410603e-01,9.45568212e-02
95,0.09818522,0.11882278,0.08096273,0.08229272,0.10772306,0.08326617,1.36065186e-01,3.49166379e-01,1.76899025e-01,9.47387074e-02
96,0.09771023,0.11827793,0.08074525,0.08227174,0.10726083,0.08316541,1.36676481e-01,3.47900262e-01,1.77030868e-01,9.43373123e-02
97,0.09731808,0.11727577,0.08064451,0.08217729,0.10689549,0.08305857,1.36617503e-01,3.49800156e-01,1.77543682e-01,9.40651665e-02
98,0.09711210,0.11632428,0.08057491,0.08194580,0.10667501,0.08294275,1.36542077e-01,3.47163686e-01,1.77886669e-01,9.38284942e-02
