epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
66,0.09947875,0.80362328,0.08365564,0.09058538,0.54546066,9.48461162e-02,6.20101605e-02,7.99000758e-02,2.67131295e-02
67,0.09935358,0.80130728,0.08360678,0.09033951,0.54532203,9.46825021e-02,6.30026881e-02,7.96496568e-02,2.66700596e-02
68,0.09931330,0.80130750,0.08360174,0.09028829,0.54489680,9.51445267e-02,6.32202787e-02,7.97086464e-02,2.66153779e-02
69,0.09916600,0.80218536,0.08352624,0.09039637,0.54423636,9.50573285e-02,6.20282789e-02,7.97726469e-02,2.65010260e-02
70,0.09919740,0.80108518,0.08354621,0.09026783,0.54439972,9.51102181e-02,6.22182041e-02,7.98751327e-02,2.65524353e-02
71,0.09900218,0.80275287,0.08350663,0.09038129,0.54402798,9.50654829e-02,6.25852417e-02,7.97785319e-02,2.67019410e-02
72,0.09903731,0.80227074,0.08350962,0.09034945,0.54387617,9.56034821e-02,6.13424280e-02,7.99151748e-02,2.64959705e-02
73,0.09893462,0.80233265,0.08346573,0.09035229,0.54306462,9.54163099e-02,6.18136214e-02,7.99031941e-02,2.65290891e-02
74,0.09891658,0.80203284,0.08343336,0.09033364,0.54342200,9.56043551e-02,6.15818969e-02,7.97148511e-02,2.64620992e-02
75,0.09902473,0.80200725,0.08352560,0.09034351,0.54394799,9.55168850e-02,6.18154112e-02,7.97535195e-02,2.64535835e-02
76,0.09906238,0.80177911,0.08353574,0.09028425,0.54405012,9.54796057e-02,6.26110905e-02,7.99150068e-02,2.63504034e-02
77,0.09889335,0.80290727,0.08347637,0.09024577,0.54381503,9.52766175e-02,6.30211044e-02,8.01109715e-02,2.66223536e-02
78,0.09874910,0.80234360,0.08343720,0.09048074,0.54293020,9.52451317e-02,6.22337628e-02,8.01510997e-02,2.64500211e-02
79,0.09848457,0.80258698,0.08333155,0.09033238,0.54223377,9.63192954e-02,6.32755691e-02,8.02704872e-02,2.64142794e-02
80,0.09847753,0.80147761,0.08332681,0.09024190,0.54203800,9.60763190e-02,6.25405093e-02,8.00156141e-02,2.65630972e-02
81,0.09833718,0.80366607,0.08327828,0.09042612,0.54171282,9.56926178e-02,6.30066471e-02,8.04147538e-02,2.62692003e-02
82,0.09820549,0.80164070,0.08325596,0.09018807,0.54127804,9.64573448e-02,6.25386365e-02,8.00337659e-02,2.63476507e-02
83,0.09817608,0.80188151,0.08322679,0.09040675,0.54143806,9.60641693e-02,6.27507033e-02,8.01417134e-02,2.61612110e-02
84,0.09787334,0.80236998,0.08311129,0.09032674,0.54003975,9.66562906e-02,6.26142858e-02,8.02648431e-02,2.63853261e-02
85,0.09784641,0.80306166,0.08311316,0.09039946,0.54003850,9.69200453e-02,6.25439031e-02,8.02875010e-02,2.64355363e-02
86,0.09770408,0.80378597,0.08303790,0.09039945,0.53982477,9.67844257e-02,6.26217706e-02,8.03558452e-02,2.64590860e-02
87,0.09790135,0.80309761,0.08313820,0.09037669,0.54018756,9.70781261e-02,6.33576219e-02,7.99240381e-02,2.65118337e-02
88,0.09779455,0.80277590,0.08309575,0.09031505,0.53989961,9.67497537e-02,6.28492449e-02,8.03421185e-02,2.64040360e-02
89,0.09781107,0.80300806,0.08308637,0.09034370,0.53972093,9.66867728e-02,6.27719238e-02,8.03100606e-02,2.61968927e-02
90,0.09749517,0.80316599,0.08295097,0.09036232,0.53872387,9.66924603e-02,6.26310534e-02,8.02812610e-02,2.62581513e-02
91,0.09774815,0.80234812,0.08306570,0.09030237,0.54002899,9.71140994e-02,6.30842842e-02,8.04281398e-02,2.65832040e-02
92,0.09760293,0.80359582,0.08303658,0.09038120,0.53987506,9.71193839e-02,6.26192671e-02,8.02292579e-02,2.65941432e-02
93,0.09749569,0.80457729,0.08297884,0.09050534,0.53954600,9.72388309e-02,6.33391404e-02,8.02545167e-02,2.66102310e-02
94,0.09724368,0.80228427,0.08287719,0.09029881,0.53877853,9.76078329e-02,6.31200270e-02,8.02135304e-02,2.62330999e-02
95,0.09720814,0.80512801,0.08288035,0.09056432,0.53861120,9.78170421e-02,6.25409822e-02,8.01797505e-02,2.64977337e-02
96,0.09705117,0.80606047,0.08283626,0.09066158,0.53810791,9.79561811e-02,6.33990139e-02,8.04208761e-02,2.64363762e-02
97,0.09688870,0.80551880,0.08275665,0.09059460,0.53770982,9.79322941e-02,6.37571100e-02,8.02272235e-02,2.67386545e-02
98,0.09698245,0.80512630,0.08284428,0.09047707,0.53776226,9.83664378e-02,6.28205727e-02,8.04023416e-02,2.65491985e-02
99,0.09682995,0.80587212,0.08277308,0.09055593,0.53701077,9.81322875e-02,6.27551411e-02,8.07265197e-02,2.64544055e-02
100,0.09675054,0.80700996,0.08273506,0.09060464,0.53652977,9.79956731e-02,6.28603242e-02,8.03896689e-02,2.63060393e-02
101,0.09682729,0.80670782,0.08274547,0.09057729,0.53687722,9.82547042e-02,6.32912234e-02,8.04213927e-02,2.64666408e-02
102,0.09664161,0.80644362,0.08268608,0.09055523,0.53630132,9.81776115e-02,6.22711705e-02,8.07582440e-02,2.64252991e-02
103,0.09667489,0.80679689,0.08270311,0.09057632,0.53656543,9.82922987e-02,6.28323607e-02,8.04603635e-02,2.65989279e-02
104,0.09660050,0.80701044,0.08267483,0.09059284,0.53614443,9.81403938e-02,6.31923799e-02,8.07171939e-02,2.64964901e-02
