epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
91,0.12502366,0.12196837,0.09102719,0.08424230,0.13338907,0.08536384,1.02968019e-01,3.36131647e-01,1.67210177e-01,9.39044799e-02
92,0.12473391,0.12187979,0.09093200,0.08423391,0.13316743,0.08524842,1.03893238e-01,3.34747605e-01,1.67920534e-01,9.39948601e-02
93,0.12471196,0.12158609,0.09092176,0.08403908,0.13308261,0.08512562,1.02514314e-01,3.34472484e-01,1.67803784e-01,9.40409193e-02
94,0.12431706,0.12152139,0.09078146,0.08404238,0.13277691,0.08501576,1.03706801e-01,3.34390973e-01,1.69788837e-01,9.32295937e-02
95,0.12372965,0.12082226,0.09063795,0.08379155,0.13218939,0.08488879,1.03546741e-01,3.36988384e-01,1.69213165e-01,9.35859592e-02
96,0.12341626,0.12042493,0.09052977,0.08375898,0.13181785,0.08477357,1.03770801e-01,3.35694447e-01,1.69113800e-01,9.27209042e-02
97,0.12330550,0.12014948,0.09053193,0.08359074,0.13176374,0.08465161,1.04156194e-01,3.37904694e-01,1.69435200e-01,9.30918583e-02
98,0.12276542,0.11994928,0.09031810,0.08352713,0.13129026,0.08453863,1.03172421e-01,3.37907423e-01,1.70813650e-01,9.27973492e-02
99,0.12249230,0.11966876,0.09020515,0.08337534,0.13094566,0.08442040,1.04349512e-01,3.38478822e-01,1.70247783e-01,9.23949147e-02
100,0.12269145,0.11933620,0.09028337,0.08335883,0.13114402,0.08431130,1.03314642e-01,3.35801777e-01,1.70498901e-01,9.24869652e-02
101,0.12201618,0.11948253,0.09008107,0.08326235,0.13044965,0.08420137,1.04119440e-01,3.36567457e-01,1.70397715e-01,9.22872992e-02
102,0.12171734,0.11913183,0.08998068,0.08315608,0.13012543,0.08409217,1.04678337e-01,3.36463207e-01,1.70056414e-01,9.15373687e-02
103,0.12120558,0.11861544,0.08985723,0.08311184,0.12959659,0.08399013,1.04831170e-01,3.39771396e-01,1.68424976e-01,9.19776554e-02
104,0.12097986,0.11855246,0.08977053,0.08303416,0.12936620,0.08389054,1.05170371e-01,3.31430929e-01,1.70678227e-01,9.13821491e-02
105,0.12100596,0.11850193,0.08976219,0.08304308,0.12935228,0.08379921,1.04810714e-01,3.30057217e-01,1.69574658e-01,9.15102195e-02
