epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
58,0.11425371,0.12111175,0.08830775,0.08378366,0.11516600,0.09102967,0.08387583,1.16340919e-01,2.05493763e-01,1.31282490e-01,5.36162601e-02
59,0.11403785,0.12089552,0.08830109,0.08373230,0.11493242,0.09110530,0.08385514,1.16492200e-01,2.02354651e-01,1.30221985e-01,5.26386623e-02
60,0.11388203,0.12091385,0.08820932,0.08375766,0.11477232,0.09115629,0.08384043,1.17440761e-01,1.99306422e-01,1.29101600e-01,5.17569906e-02
61,0.11374416,0.12053657,0.08815821,0.08362193,0.11462217,0.09099323,0.08381259,1.17803842e-01,1.96875373e-01,1.27885826e-01,5.04960184e-02
62,0.11378647,0.12045196,0.08823331,0.08359998,0.11466159,0.09105747,0.08378539,1.18345246e-01,1.95560136e-01,1.27330295e-01,5.02372827e-02
63,0.11351056,0.12073369,0.08803760,0.08367236,0.11437383,0.09098096,0.08376670,1.18266485e-01,1.93199839e-01,1.26243781e-01,4.94016505e-02
64,0.11350167,0.12045421,0.08806106,0.08367968,0.11435796,0.09084973,0.08375114,1.18638517e-01,1.90920414e-01,1.25150345e-01,4.90038814e-02
65,0.11323724,0.12025112,0.08793007,0.08363514,0.11407998,0.09085436,0.08373119,1.18709319e-01,1.89720750e-01,1.24625047e-01,4.79068804e-02
66,0.11284122,0.12024701,0.08783723,0.08368659,0.11368586,0.09102528,0.08371760,1.19956196e-01,1.85068015e-01,1.24447943e-01,4.73208616e-02
67,0.11296808,0.12006393,0.08785710,0.08358527,0.11380553,0.09092262,0.08369775,1.19369046e-01,1.85461028e-01,1.23165132e-01,4.71033713e-02
68,0.11284669,0.12017258,0.08789654,0.08364424,0.11367367,0.09077469,0.08368644,1.18830961e-01,1.83720659e-01,1.22906452e-01,4.66426797e-02
69,0.11278628,0.12034588,0.08784954,0.08378966,0.11360994,0.09082637,0.08368915,1.20712481e-01,1.81485919e-01,1.22215321e-01,4.54703361e-02
70,0.11240750,0.12009417,0.08765643,0.08367323,0.11323278,0.09083736,0.08368050,1.20116004e-01,1.82863510e-01,1.22462855e-01,4.50978735e-02
71,0.11179201,0.12008288,0.08751586,0.08363647,0.11262120,0.09062303,0.08366950,1.20312745e-01,1.81254049e-01,1.22847204e-01,4.47215061e-02
72,0.11205936,0.11979080,0.08762274,0.08350783,0.11288157,0.09069995,0.08364851,1.21152980e-01,1.82910101e-01,1.22060422e-01,4.38968032e-02
73,0.11207072,0.11998013,0.08760622,0.08363316,0.11288237,0.09072312,0.08363979,1.20109084e-01,1.80427585e-01,1.21276688e-01,4.44348487e-02
74,0.11201602,0.11992495,0.08757721,0.08351251,0.11284080,0.09057171,0.08362186,1.22220672e-01,1.78068585e-01,1.21663565e-01,4.41409494e-02
75,0.11200369,0.11984877,0.08755044,0.08352096,0.11281679,0.09060758,0.08360639,1.21023646e-01,1.79054459e-01,1.21543570e-01,4.36038902e-02
76,0.11160270,0.11955244,0.08736744,0.08346486,0.11242053,0.09071491,0.08358771,1.21550472e-01,1.79027471e-01,1.21847131e-01,4.34854786e-02
77,0.11147171,0.11962271,0.08745372,0.08351020,0.11229174,0.09056682,0.08357494,1.21607369e-01,1.78134729e-01,1.21954902e-01,4.30540929e-02
78,0.11131265,0.11965703,0.08733565,0.08354066,0.11213546,0.09051247,0.08356628,1.21986983e-01,1.80647152e-01,1.22500576e-01,4.25265914e-02
79,0.11119641,0.11945387,0.08724339,0.08349688,0.11201614,0.09052793,0.08355481,1.21998858e-01,1.77931947e-01,1.22414831e-01,4.27466197e-02
80,0.11121370,0.11937521,0.08736559,0.08340206,0.11204153,0.09054386,0.08353519,1.23094272e-01,1.78575004e-01,1.21778460e-01,4.36365074e-02
81,0.11084888,0.11949211,0.08722086,0.08348529,0.11168122,0.09054627,0.08352571,1.22927044e-01,1.79308205e-01,1.22817330e-01,4.28178618e-02
82,0.11091743,0.11938659,0.08725752,0.08345836,0.11174186,0.09036103,0.08351541,1.22078592e-01,1.81427849e-01,1.22358387e-01,4.29651159e-02
83,0.11118843,0.11936522,0.08721015,0.08344294,0.11201726,0.09027178,0.08350482,1.23259180e-01,1.79395198e-01,1.22229932e-01,4.31754149e-02
84,0.11066514,0.11920323,0.08709751,0.08346231,0.11149703,0.09017170,0.08349718,1.23308710e-01,1.79779017e-01,1.22644814e-01,4.30334780e-02
85,0.11088808,0.11922211,0.08718626,0.08341000,0.11172550,0.09028056,0.08348561,1.23768125e-01,1.81404683e-01,1.22323112e-01,4.30684224e-02
86,0.11045206,0.11925175,0.08698911,0.08341397,0.11128905,0.09021275,0.08347553,1.24180515e-01,1.79680438e-01,1.22725743e-01,4.25085726e-02
87,0.11046091,0.11936462,0.08704033,0.08352632,0.11129849,0.09025499,0.08347686,1.23669364e-01,1.80405444e-01,1.23438209e-01,4.22726481e-02
88,0.11001804,0.11929062,0.08691785,0.08343272,0.11085939,0.09010870,0.08346927,1.24833401e-01,1.79928405e-01,1.23223599e-01,4.25177245e-02
89,0.11048394,0.11915888,0.08703356,0.08340222,0.11132109,0.09003207,0.08345951,1.24435815e-01,1.80476211e-01,1.22804101e-01,4.23175838e-02
90,0.11027957,0.11903833,0.08697953,0.08340456,0.11111522,0.09004278,0.08345141,1.23863719e-01,1.81660271e-01,1.22872853e-01,4.26744128e-02
91,0.11025088,0.11899907,0.08697231,0.08339179,0.11109645,0.09007034,0.08344217,1.24506729e-01,1.80834301e-01,1.23201374e-01,4.28807159e-02
